0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:27 -0300] "GET /PCRS/apps/bdl/disponibilidad.html?option=com_hotelguide&view=procesoReserva&destinos=Barcelona%20(spain)&destinosid=BBCN&hotel=&hotelid=&ini=10/10/2019&noches=1&fin=11/10/2019&hab=1&adul=1&nin=0&adul1=2&bebes1=0&nin1=0&nin_edad_1_1=0&nin_edad_1_2=0&nin_edad_1_3=0&nin_edad_1_4=0&adul2=2&bebes2=0&nin2=0&nin_edad_2_1=0&nin_edad_2_2=0&nin_edad_2_3=0&nin_edad_2_4=0&adul3=2&bebes3=0&nin3=0&nin_edad_3_1=0&nin_edad_3_2=0&nin_edad_3_3=0&nin_edad_3_4=0&adul4=2&bebes4=0&nin4=0&nin_edad_4_1=0&nin_edad_4_2=0&nin_edad_4_3=0&nin_edad_4_4=0&abZonaHidden=&abEstrellasHidden=&abEscalaHidden=&abRegimenHidden=&abTipoAlojamientoHidden=&abTipoHotelHidden=&abServiciosHidden=&researchSessionId=&Itemid=&&request_locale=en HTTP/1.1" 200 4282603
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:27 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:36 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:36 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:48 -0300] "POST /PCRS/apps/bdl/datosPasajeros.html HTTP/1.1" 200 147835
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:48 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:48 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:49 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:49 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:55 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:08:28 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:08:47 -0300] "POST /PCRS/apps/bdl/pago.html HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:12:00 -0300] "GET /PCRS/apps/bdl/pagoOK.html HTTP/1.1" 404 1177
127.0.0.1 - - [24/Feb/2018:05:15:24 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:33 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:33 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:34 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:34 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:15:35 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
